# M=20, N=10, max=1, PBC
# U/t E0/t S1(n=1) S2(n=1) S3(n=1)
0.030000000019365026 -12.696427963590763 0.0001785280507822229 3.051566821898888e-5 2.2886925768794697e-5
0.03852842839747091 -12.671357659849273 0.0002814471942698127 5.0245108630608826e-5 3.768430484551999e-5
0.04948132646069453 -12.639213725007538 0.00044263892080520506 8.269029897567393e-5 6.201900636826352e-5
0.06354792474407148 -12.59801975042424 0.000694286258915433 0.00013600262984603262 0.00010200544083360796
0.08161338889097945 -12.545259681045998 0.0010857153020085164 0.00022351097753148252 0.0001676426015118082
0.10481452027104377 -12.477738624839189 0.0016920298940017453 0.0003669587180112899 0.00027524429319303323
0.13461129122238077 -12.391413117302633 0.0026267030276367898 0.0006017102558595333 0.0004513506044938609
0.17287871640016 -12.281187807256229 0.004059631216729809 0.0009850700668345702 0.0007389846127607846
0.22202484139902437 -12.140678140168735 0.00624249694602419 0.0016094673800823855 0.001207586754015555
0.28514227329267855 -11.961944064975798 0.00954352187666796 0.0026231499082887133 0.0019686548631474565
0.36620278841858406 -11.735210167993518 0.014493682750312153 0.004262301402803814 0.0032001421123060148
0.4703072634477366 -11.448606508648442 0.021846045915400403 0.0069002984075443585 0.005184192717570202
0.6040066570953335 -11.08799810544926 0.03264905646424454 0.011122460021966152 0.008365213795526127
0.7757142408157198 -10.63703139325547 0.04833403089945376 0.017839018293338782 0.01343965038510575
0.9962350188291619 -10.0776377087777 0.07081924129392236 0.028458096816617928 0.021498360429226704
1.2794456521745317 -9.391454783791355 0.10264509153401402 0.04516393210023617 0.034267293255373144
1.6431676722147313 -8.56311201694503 0.1471924939946585 0.07141275722630303 0.05456365849210165
2.110288932103281 -7.587517873808183 0.20907756408883138 0.11292117376012767 0.08727694177698675
2.7102038655344476 -6.486074395415862 0.29412606718880774 0.17924691152336303 0.14128145152639604
3.4806631836129913 -5.33640073857043 0.40215486288443003 0.2800465348772838 0.22815068140692274
4.470149405299391 -4.273220789499302 0.5060791288668325 0.39816083972837824 0.3392958047475112
5.740927705896719 -3.3830586856574953 0.5777747369394453 0.4956303139166365 0.44121016871426866
7.372964063630702 -2.6635215263745198 0.6220920203328344 0.56450436444986 0.5206962000365842
9.468957260645173 -2.0887182889525464 0.6495114971718818 0.6111803472389434 0.5790778815696691
12.160801385999516 -1.6335211777696999 0.6664634476021036 0.6418196009362096 0.6197986922534082
15.617885505130227 -1.2753346497429867 0.6768826394511258 0.6613894855289337 0.6469478193517668
20.057752767196323 -0.9946423939495989 0.6832541181578544 0.6736496108768093 0.6644531722864357
25.75978969354196 -0.7752338289567815 0.6871373233215436 0.6812346774406302 0.6754871522866663
33.0828070700297 -0.6039912631689033 0.6894991301462179 0.6858907475149683 0.6823405721321598
42.48761875207367 -0.47046460782821 0.6909338119961985 0.6887350828611796 0.6865580209368813
54.56603919372133 -0.3664052430056218 0.6918046527416215 0.6904675191959275 0.6891384115247918
70.07812442172732 -0.2853376517733225 0.6923330048497909 0.6915208149125727 0.6907115889642732
89.99999990895753 -0.22219478760542455 0.6926534753337017 0.6921605007005756 0.691668618679627
