# M=8, N=4, max=1, PBC
# U/t E0/t S1(n=2) S2(n=2) S3(n=2)
-0.030000000019365026 -5.260733735817286 0.0001958733046436567 3.230742084325833e-5 2.42307017623844e-5
-0.03399783599981374 -5.265342219028161 0.0002465141970613427 4.1519680554102933e-5 3.1139985092965006e-5
-0.03852842839747091 -5.270568648090887 0.0003101343739901896 5.3363612242840475e-5 4.002308003658861e-5
-0.04366277297140841 -5.2764964591888806 0.00039002755415551427 6.859325039432207e-5 5.144554999403361e-5
-0.04948132646069453 -5.2832205183526355 0.0004903139862180161 8.817972011909703e-5 6.613580081138437e-5
-0.05607526736593459 -5.290848733855665 0.0006161453341335665 0.0001133742267267479 8.503233894008311e-5
-0.06354792474407148 -5.299503909235817 0.0007739597212543803 0.00014578955258803816 0.00010934492052205869
-0.07201639740609499 -5.3093258765148015 0.000971799085629721 0.00018750560931568572 0.0001406337592793072
-0.08161338889097945 -5.320473956686641 0.0012197039352612737 0.0002412063100285522 0.00018091225315775006
-0.09248928697044942 -5.333129803720372 0.0015302042508766878 0.00031035730074258083 0.00023278040287944002
-0.10481452027104377 -5.347500699613339 0.0019189298542023892 0.0003994371161444299 0.00029959837773296805
-0.11878222894246263 -5.363823382010601 0.002405369288378978 0.0005142383720386778 0.00038571273995824384
-0.13461129122238077 -5.382368503324551 0.0030138134691666263 0.0006622610496402892 0.0004967519559815337
-0.15254975332491796 -5.40344584213959 0.0037745294962712173 0.0008532272953511999 0.0006400134070656538
-0.17287871640016 -5.427410415298111 0.004725221657177592 0.0010997572084086027 0.0008249717455905969
-0.1959167414745673 -5.454669674230009 0.0059128516365962724 0.0014182589087445852 0.0010639489711159467
-0.22202484139902437 -5.485692014264798 0.00739590943785795 0.0018301053650153776 0.0013730012653101475
-0.2516121380298737 -5.521016884261816 0.009247252242834625 0.0023631973898088354 0.0017730982830863606
-0.28514227329267855 -5.561266860721933 0.011557662960480553 0.003054050455154611 0.002291700066174407
-0.323140674592031 -5.607162152520805 0.014440327537919018 0.00395059804318354 0.002964879375722651
-0.36620278841858406 -5.6595381396910085 0.01803649666776863 0.005115984720967637 0.0038401998755501765
-0.4150034111764321 -5.719366737569908 0.022522694129426313 0.006633741734856979 0.004980654215934521
-0.4703072634477366 -5.787782639779335 0.02811997973287239 0.008614919027808643 0.00647010865257891
-0.5329809733965386 -5.866115867667647 0.03510600549216081 0.011208027525106079 0.00842092250325499
-0.6040066570953335 -5.955932602432759 0.043830991963719645 0.014613088150795761 0.01098476309456431
-0.6844973085822526 -6.05908710641975 0.054739463925156384 0.01910180128247818 0.014368210315870211
-0.7757142408157198 -6.177788844485718 0.06840109510260084 0.02504704327521501 0.01885570120627489
-0.8790868508316444 -6.314691056328654 0.08555899658608679 0.03296693298866615 0.024843997096653192
-0.9962350188291619 -6.473010718350958 0.10720927470831243 0.04359226525088422 0.032895190684429476
-1.1289944921854067 -6.656696537975269 0.13466216315535728 0.0579723687383884 0.04382020004594467
-1.2794456521745317 -6.870674497527646 0.16970893014346067 0.0776451638382154 0.05881288349384417
-1.4499461141742076 -7.121226429515993 0.21484912211878449 0.10491289522413583 0.07966585553539107
-1.5 -7.1965240393174446 0.22926529868479273 0.11403973566909675 0.0866604302924685
-1.5390625 -7.255866593264512 0.24089904695050368 0.12154428453545352 0.09241617379363332
-1.578125 -7.315731773476925 0.25287541829987337 0.12939614960869017 0.09844200141222226
-1.6171875 -7.37613367017357 0.26520007059322914 0.13760680031772932 0.10474660342919728
-1.6431676722147313 -7.416611007832379 0.27359247257284647 0.1432718939416655 0.10909828583243475
-1.65625 -7.4370872035484545 0.27787806136124926 0.14618756966869517 0.1113384418438721
-1.6953125 -7.498608162347484 0.2909136224308986 0.15514948223384417 0.11822559247172482
-1.734375 -7.560713239800454 0.30430989865498237 0.16450304338293442 0.12541555403774418
-1.7734375 -7.623420065596362 0.3180686482805051 0.17425798442100837 0.13291502025482793
-1.8125 -7.686747232333104 0.33218990329239917 0.1844229583458865 0.14072961115464477
-1.8515625 -7.750714314592069 0.34667158926607655 0.1950051813313105 0.14886356057963956
-1.8621381668030597 -7.768145306097621 0.3506537869605024 0.19794270500784572 0.15112102917702064
-1.890625 -7.815341878491244 0.36150910594055485 0.20601001590968737 0.15731935787467255
-1.9296875 -7.880651479265636 0.3766948719674219 0.21744049332858228 0.16609734357838835
-1.96875 -7.94666564412767 0.39221784016980177 0.22929677486160394 0.17519526145934883
-2.0078125 -8.013407837391371 0.40806299320161 0.2415755551467984 0.1846077727143869
-2.046875 -8.080902404630912 0.4242108337235968 0.25426941506795586 0.1943259426568611
-2.0859375 -8.149174492520183 0.4406368880271425 0.2673661374013334 0.20433671580869794
-2.110288932103281 -8.192139926406456 0.4510046189648653 0.27572685355229964 0.21071783861040894
-2.125 -8.218249941004608 0.457311247256158 0.2808480054424609 0.2146224018871652
-2.1640625 -8.288155144638914 0.4741981756874156 0.29469111297144357 0.22516020247478474
-2.203125 -8.358916880329055 0.49125582046581817 0.3088647228552781 0.23592181565685344
-2.2421875 -8.430562099395402 0.508436061129288 0.3233307206774887 0.24687316277663163
-2.28125 -8.50311768286376 0.5256845394344012 0.3380432180425905 0.25797428653238397
-2.3203125 -8.576610160216745 0.5429409095575517 0.35294836628601534 0.2691794714664053
-2.359375 -8.651065393499195 0.5601393448578369 0.3679844435924662 0.28043763485105977
-2.3915085659852595 -8.713053011687988 0.5741940625618311 0.3804029876286057 0.2896993334158968
-2.3984375 -8.726508230631723 0.5772093293677201 0.38308227520861227 0.29169302651995155
-2.4375 -8.802962133968148 0.5940767496968871 0.39816603588026833 0.3028862592346542
