# M=12, N=6, max=1, PBC
# U/t E0/t S1(n=3) S2(n=3) S3(n=3)
-0.030000000019365026 -7.780221195684012 0.00030053343042535374 5.021333353827373e-5 3.766024018103664e-5
-0.03399783599981374 -7.7872797742153805 0.00037816384705990913 6.453773178316524e-5 4.840369492598029e-5
-0.03852842839747091 -7.795284812703939 0.00047567297377160145 8.295710881833784e-5 6.22184852763219e-5
-0.04366277297140841 -7.804364099839253 0.0005981011852589369 0.00010664610790689366 7.998565974087768e-5
-0.04948132646069453 -7.814662929053373 0.0007517529611660301 0.0001371181727085613 0.00010284041015884426
-0.05607526736593459 -7.826346567748249 0.0009445102474572309 0.00017632413397050684 0.00013224603976347282
-0.06354792474407148 -7.839603095027076 0.0011862226334211634 0.00022677989286323808 0.0001700897720464667
-0.07201639740609499 -7.854646668558639 0.0014891930282052712 0.0002917319836019949 0.00021880699937426584
-0.08161338889097945 -7.8717212927081235 0.0018687820761420504 0.0003753725435755584 0.00028154263733437546
-0.09248928697044942 -7.891105174153386 0.00234416024693207 0.00048311886919139013 0.00036236100130837556
-0.10481452027104377 -7.913115768554071 0.002939243684425996 0.0006219776116909159 0.00046651930030305877
-0.11878222894246263 -7.93811564333866 0.0036838589034968727 0.0008010202158290625 0.0006008247903968034
-0.13461129122238077 -7.966519308491465 0.00461519283324785 0.0010320050543990433 0.0007741023269671743
-0.15254975332491796 -7.998801200906563 0.0057795992563751675 0.0013301937548368947 0.0009978081859105536
-0.17287871640016 -8.035505050508723 0.007234851416004773 0.0017154257335199041 0.0012868385771760416
-0.1959167414745673 -8.077254910743763 0.009052954906280775 0.0022135378155065943 0.0016605986923883265
-0.22202484139902437 -8.124768206090293 0.011323667041476249 0.0028582477791885275 0.0021444225507760706
-0.2516121380298737 -8.178871240357944 0.014158911856548162 0.0036936658589290516 0.0027714685511628367
-0.28514227329267855 -8.240517729404957 0.01769833854973868 0.004777662963248552 0.003585265418675654
-0.323140674592031 -8.310811081682711 0.022116353150098078 0.006186418397477134 0.00464315579540564
-0.36620278841858406 -8.391031366232308 0.02763107086968608 0.008020608689287556 0.006020992153878968
-0.4150034111764321 -8.482668205605266 0.034515810797401514 0.010413907714112547 0.007819601490900219
-0.4703072634477366 -8.587461250182914 0.043114021460090246 0.01354478808120474 0.010173783364390232
-0.5329809733965386 -8.707450494748123 0.05385895002430008 0.017653114868346975 0.01326499373458967
-0.6040066570953335 -8.845039596474617 0.0673000693231991 0.023063827718708296 0.01733948569389865
-0.6844973085822526 -9.003076737803353 0.08413948913891067 0.030221336189161008 0.02273468421887337
-0.7757142408157198 -9.184959806254046 0.10528378725598975 0.03974051560079994 0.029918236808528675
-0.8790868508316444 -9.394776447313303 0.13192103335313998 0.05248417820810847 0.03954696712954986
-0.9962350188291619 -9.637496406982573 0.16564224973773944 0.06968420836690514 0.05255759510430691
-1.1289944921854067 -9.919247077710558 0.20864574898345856 0.09313761576684909 0.07030843351225124
-1.2794456521745317 -10.247732628322069 0.26409316887493395 0.12553750745059844 0.0948007388500991
-1.4499461141742076 -10.632930806336176 0.3368154927853859 0.17106334680233504 0.12900887835212727
-1.5 -10.748865815014266 0.36045971048188763 0.18647533496497015 0.1404944640303234
-1.5390625 -10.84030912403976 0.37972509897888473 0.19921975620307775 0.14994251412495707
-1.578125 -10.932634823383976 0.3997521205113559 0.21262818172124476 0.15982662970863792
-1.6171875 -11.025878848573548 0.42059170269167145 0.22673627056261036 0.17015575955007867
-1.6431676722147313 -11.088422853992553 0.43492973962473025 0.2365259218996214 0.1772757002072578
-1.65625 -11.120081490549872 0.44230110721871974 0.2415830723886292 0.1809372778992473
-1.6953125 -11.215288209743347 0.4649454895376275 0.25721167144240287 0.19217669718080765
-1.734375 -11.31155064667385 0.4885991428960508 0.27367003352749997 0.2038774891814965
-1.7734375 -11.408927883151362 0.5133466268610842 0.2910121310124576 0.21604115172067795
-1.8125 -11.507488022920146 0.5392838612240887 0.30929944669889853 0.2286677549354672
-1.8515625 -11.607310177944846 0.566518887190091 0.32860298798292353 0.24175735601828574
-1.8621381668030597 -11.63456451780522 0.5741310303840561 0.33401447583429356 0.24538108706643325
-1.890625 -11.708486965065946 0.5951718263655215 0.34900597331213046 0.255312910919927
-1.9296875 -11.811127633409475 0.6253732244738965 0.37060736957238616 0.26934566810313676
-1.96875 -11.915361946310057 0.657259424383847 0.3935264280324162 0.28388452575290746
-2.0078125 -12.021344912918604 0.6909628264472119 0.4179082141936066 0.2989914429534912
-2.046875 -12.12926236618389 0.7265939073139482 0.4439297053536584 0.3147855404634723
-2.0859375 -12.239337148490417 0.764211022267073 0.4718050693075635 0.33147847223456317
-2.110288932103281 -12.309164750551941 0.7886546250503894 0.4902308633869925 0.3424876803682424
-2.125 -12.35183518930036 0.8037744040747961 0.5017868182194913 0.34942174675270987
-2.1640625 -12.467069911797665 0.8450851257419711 0.5341561943525694 0.3691605984862121
-2.203125 -12.585402118055212 0.8877249200228694 0.5691914615526028 0.39147566091562425
-2.2421875 -12.707230996767175 0.9310553983015519 0.6070988870975529 0.4173720807227399
-2.28125 -12.832971095349393 0.9742490349639121 0.6478947334520955 0.4479547597968825
-2.3203125 -12.963011884274811 1.0163160664785047 0.6912487685464637 0.4841368562839987
-2.359375 -13.097662894387284 1.056124980796017 0.7363457704593932 0.5262071556357468
-2.3915085659852595 -13.212013095667638 1.0863916857864448 0.7738314778109059 0.5647455171866653
-2.3984375 -13.23709748700919 1.0925663566198422 0.7818657535593609 0.5734279564551112
-2.4375 -13.381315667090778 1.1247608838557688 0.8261643631931888 0.6239343647659576
-2.4765625 -13.530142350887852 1.1522490264122482 0.8676204171486583 0.6750958522551684
-2.515625 -13.683261678215995 1.1750434294658807 0.904990857554957 0.7242015911282231
-2.5546875 -13.840271799658554 1.193529905831388 0.9376061331868719 0.7691123197427832
-2.59375 -14.000739844756104 1.2083006604566031 0.9653574933853113 0.8085911803479275
-2.6328125 -14.164243550465226 1.220004988608817 0.9885473324061915 0.8422754184387449
-2.671875 -14.330395941062445 1.229253247894356 1.0077059244833673 0.8704357551121111
-2.7102038655344476 -14.495672685140358 1.2364487143175613 1.023174283937204 0.8932978552697346
-2.7109375 -14.498855943848554 1.2365711235505885 1.0234419721278747 0.8936940155880917
-2.75 -14.6693298411364 1.2423878079800743 1.036347501802036 0.9127991473214774
-2.7890625 -14.841567839381266 1.2470423163167985 1.0469498395609471 0.928487700076448
-2.828125 -15.015358632682442 1.2507971624779173 1.0556950216624315 0.9414147034983307
-2.8671875 -15.190523589985595 1.2538533989757066 1.0629486877339223 0.9521302866775398
-2.90625 -15.366911352805948 1.256364261231521 1.0690049903348897 0.9610810637658109
-2.9453125 -15.54439314341524 1.2584464789751775 1.074098059527023 0.968622477045709
-2.984375 -15.722858834211802 1.2601892007373894 1.0784132758644138 0.9750343578228708
-3.0234375 -15.902213717609172 1.2616608342045104 1.082097193247622 0.9805359499066553
-3.0625 -16.08237587676333 1.2629142003578688 1.085265785405865 0.9852989025720422
-3.0713688829008103 -16.123385398758288 1.2631728077117006 1.085923332941317 0.9862919585295558
-3.1015625 -16.263274052996817 1.2639903801067525 1.0880110787876407 0.9894578847825355
-3.140625 -16.444845915794676 1.2649215724187912 1.090406386507127 0.9931189816193071
-3.1796875 -16.627036655831365 1.2657332164735577 1.0925103932871658 0.9963662143613452
-3.21875 -16.809797836138507 1.2664455706799571 1.094370325224752 0.9992665516263353
-3.2578125 -16.993086449481062 1.267074892545193 1.096024403629253 1.0018737414196885
