# M=26, N=13, max=1, PBC
# U/t E0/t S1(n=1) S2(n=1) S3(n=1)
-1.9 -25.39910372893139 0.30944873903110404 0.21301989369703644 0.1696911702633872
-1.8 -24.828365606484795 0.27641661902645653 0.1824145920394078 0.14391856800158953
-1.7 -24.278276831954376 0.24810912099420745 0.15713196931704942 0.12302258434294133
-1.6 -23.74482872318531 0.22225427653706742 0.13498265789232144 0.10499238217491191
-1.5 -23.225675978150797 0.1981094074800338 0.11524644872664602 0.08913305021182039
-1.4 -22.719239731507265 0.1753873514011164 0.09760159340651464 0.07511194973958757
-1.3 -22.224369280217605 0.1539716127032107 0.08185686916669743 0.06272166846245364
-1.2 -21.740181784347904 0.13381840615900797 0.06786881271603118 0.051806262660382796
-1.1 -21.265975117192195 0.11491799408612335 0.05551393574768104 0.04223552468728142
-1.0 -20.801175871461812 0.09727829134137078 0.044679310886798884 0.03389528112966733
-0.9 -20.345306176373192 0.08091786074733776 0.035259569938573154 0.026683400272079272
-0.8 -19.897961405617025 0.06586328922215712 0.02715609073972658 0.020507891513783516
-0.7 -19.458794585158813 0.052148890511448 0.02027683864622798 0.015285776492535152
-0.6 -19.027505126559724 0.03981795495097096 0.014536319873418524 0.01094224734370286
-0.5 -18.603830465369683 0.028925461328509705 0.009855477025475512 0.007409940199194054
-0.4 -18.187539716035282 0.01954278433050849 0.006161494799312273 0.004628268716694084
-0.3 -17.77842876643592 0.011765968900979917 0.003387530018670759 0.0025428040144190867
-0.2 -17.376316425570224 0.005731884087400552 0.0014723913570375835 0.0011047004052464615
-0.1 -16.98104135846587 0.0016570647339175792 0.00036019280601262693 0.00027016893638798223
0.0 -16.592459621117495 3.6206593279075605e-12 3.9968028886505635e-13 2.9976021664879227e-13
0.1 -16.21044266109033 0.0015999858184141402 0.00034548330589379006 0.0002591348643350422
0.2 -15.83487568577846 0.005356052908503273 0.001354587192514245 0.0010162847503289996
0.3 -15.465656325869826 0.01065518201193738 0.0029892220932845603 0.002243595312228397
0.4 -15.102693539930456 0.017171235567956522 0.005214982509362365 0.003916353932165606
0.5 -14.745906719472194 0.0246835177675786 0.008000893494205297 0.006012737176947169
0.6 -14.395224963901772 0.033029597661946575 0.011319186494722633 0.00851359582267941
0.7 -14.05058650237137 0.04208444245675258 0.015145104823793165 0.01140227508916647
0.8 -13.711938245419452 0.05174912482910443 0.01945673851362395 0.01466446795841625
0.9 -13.37923545385455 0.06194396691632864 0.02423488791154771 0.018288099680579428
1.0 -13.052441515860533 0.07260405588855123 0.02946295499188256 0.02226324171494154
1.1 -12.731527825941447 0.08367615411137397 0.03512686077880112 0.026582053286442253
1.2 -12.416473761100443 0.09511648593811861 0.041214986462289716 0.03123874843388208
1.3 -12.107266750479596 0.10688910149843789 0.04771813446437845 0.03622958567549439
1.4 -11.803902434358218 0.11896463049007044 0.05462950364253949 0.04155287603181268
1.5 -11.506384906579488 0.13131929989482094 0.061944669824809395 0.047209002960300506
1.6 -11.21472703064564 0.14393412335099676 0.06966155846248157 0.05320044434892868
1.7 -10.928950813238728 0.15679418760703 0.07778039021533045 0.05953178189151531
1.8 -10.649087809012217 0.16988796967200992 0.08630357241773723 0.0662096765581901
1.9 -10.375179516317425 0.18320662079344885 0.09523549961512501 0.07324278032616505
