# M=28, N=14, max=1, PBC
# U/t E0/t S1(n=1) S2(n=1) S3(n=1)
-0.030000000019365026 -17.98765950789729 0.00018697027078351525 3.2189354397083036e-5 2.4142210080846382e-5
-0.03399783599981374 -18.00434554600043 0.000235124260624886 4.1375094049111993e-5 3.103164152618021e-5
-0.03852842839747091 -18.023268935100482 0.00029556498074656545 5.318817010646626e-5 3.989165803330863e-5
-0.04366277297140841 -18.044731751418265 0.0003713940023866158 6.838284270749284e-5 5.1288008860339573e-5
-0.04948132646069453 -18.0690774489146 0.000466486343483119 8.793118809347078e-5 6.594984088437172e-5
-0.05607526736593459 -18.09669669583378 0.0005856807303676881 0.00011308659603725957 8.481734506649019e-5
-0.06354792474407148 -18.128034082283662 0.000735016025677826 0.00014546605117349287 0.00010910350633475119
-0.07201639740609499 -18.16359584218927 0.0009220247720027608 0.00018715689484150033 0.00014037423964463613
-0.08161338889097945 -18.203958760175105 0.0011560976071929296 0.00024085552847852298 0.00018065252524035458
-0.09248928697044942 -18.249780467267513 0.0014489352924642596 0.0003100479221456176 0.0002325539696568235
-0.10481452027104377 -18.30181137038019 0.0018151093741072266 0.0003992449215441951 0.00029946358595989153
-0.11878222894246263 -18.360908511469297 0.0022727572495475634 0.0005142896357615001 0.0003857668364224409
-0.13461129122238077 -18.428051715802397 0.0028444436579806442 0.0006627599167434717 0.0004971523334704742
-0.15254975332491796 -18.504362468677282 0.0035582282924209174 0.00085449674773308 0.0006410095447142439
-0.17287871640016 -18.591126061127582 0.004448988860996206 0.0011023000103143055 0.0008269530000277747
-0.1959167414745673 -18.689817674426067 0.005560060928230914 0.0014228477952760166 0.0010675157998472073
-0.22202484139902437 -18.80213323985357 0.0069452709199948615 0.001837915835334769 0.0013790710162648878
-0.2516121380298737 -18.930026127301755 0.0086714578924445 0.0023760021766880968 0.0017830618218757088
-0.28514227329267855 -19.0757510024129 0.010821603699485927 0.0030745026635701223 0.002307652994352427
-0.323140674592031 -19.24191657419281 0.013498722214126513 0.003982640506992041 0.002989962315479211
-0.36620278841858406 -19.431549473694123 0.01683069746243193 0.005165436642272869 0.0038790975964047014
-0.4150034111764321 -19.64817222116608 0.020976311230207045 0.006709129348150711 0.005040324763456727
-0.4703072634477366 -19.89589925149403 0.026132765630544785 0.00872863153911485 0.006560842723686733
-0.5329809733965386 -20.17955643526345 0.03254508971400183 0.011377882891062896 0.00855787077880965
-0.6040066570953335 -20.504831727236635 0.040517926883197664 0.014864359438378827 0.011190112325026647
-0.6844973085822526 -20.87846798115405 0.050430338899690064 0.01946962014237652 0.014674225062170532
-0.7757142408157198 -21.308514506778256 0.06275444829131693 0.025578712097134915 0.01930883920369686
-0.8790868508316444 -21.80466346079203 0.0780790175064272 0.03372269329493571 0.025510156432320574
