# M=4, N=2, max=1, PBC
# U/t E0/t S1(n=1) S2(n=1) S3(n=1)
-1.0 -3.3722813232690148 0.04482180636071742 0.015267472130788606 0.011494759112349429
-1.5 -3.6761749776799064 0.08491143650804034 0.033398280401847336 0.025262622597323814
-2.0 -3.9999999999999996 0.1298254955207736 0.0571584138399478 0.04350568849481429
-2.5 -4.342329219213244 0.1763400103873679 0.08523043261863505 0.06536709400173069
-3.0 -4.701562118716425 0.22219143151737586 0.11625980611586151 0.08994275099803639
-3.5 -5.076033673912517 0.2658937794271611 0.1489851365263647 0.11636159408551305
-4.0 -5.464101615137755 0.30657201479043006 0.1823215567939539 0.14384103622588984
-4.5 -5.86420807370024 0.3438038815552721 0.2153985021723962 0.1717171070434892
-5.0 -6.274917217635373 0.3774811218906814 0.24756207866235502 0.19945385378100222
-5.5 -6.694933459514875 0.40769770687444373 0.278354889576642 0.22663841772021098
-6.0 -7.123105625617661 0.43466629787846534 0.30748469974796155 0.2529678192359003
-6.5 -7.558421984903521 0.4586597153263695 0.334790150438227 0.27823209688653805
-7.0 -7.999999999999999 0.479972313391536 0.3602085165200438 0.30229689160925055
-7.5 -8.447073557013983 0.49889604269819177 0.38374796738748185 0.325087262931926
-8.0 -8.898979485566354 0.5157067364635542 0.4054651081081636 0.3465735902799719
-8.5 -9.355144464165535 0.5306571703410469 0.4254476076955028 0.36675981792516665
-9.0 -9.815072906367323 0.543974404476892 0.44380125685171035 0.38567396393370934
-9.5 -10.278336096873996 0.5558596952707634 0.46064064612942957 0.40336064737758026
-10.0 -10.744562646538029 0.5664898458655135 0.4760826753221187 0.41987532737591116
-10.5 -11.213430220938282 0.5760192749615344 0.4902422039257516 0.43527994579600915
-11.0 -11.684658438426489 0.5845823619703977 0.5032292768740539 0.4496396930238077
-11.5 -12.158002808988147 0.5922958093967802 0.5151474812621463 0.46302065549476545
-12.0 -12.6332495807108 0.5992608801277496 0.5260930958967792 0.47548814493102276
-12.5 -13.110211367006123 0.6055654398316824 0.5361547824236595 0.4871055475846241
-13.0 -13.588723439378914 0.6112857782783024 0.5454136350533211 0.4979335651881337
-13.5 -14.068640584152224 0.6164882085238764 0.5539434579856356 0.5080297472565315
-14.0 -14.54983443527075 0.6212304564811132 0.5618111784988581 0.5174482371410009
-14.5 -15.032191208136691 0.6255628599091726 0.5690773321754811 0.5262396724199344
-15.0 -15.5156097709407 0.6295293981890836 0.5757965773427319 0.534451194540906
-15.5 -16.0 0.633168574199772 0.5820182105053792 0.542126533795111
-16.0 -16.485281374238568 0.6365141682948133 0.5877866649021172 0.5493061443340536
-16.5 -16.971381771256205 0.6395958824734439 0.5931419815115319 0.5560273705553506
-17.0 -17.45823643358446 0.6424398907365093 0.5981202467566648 0.5623246312255529
-17.5 -17.945787078874762 0.6450693095407861 0.6027539944629338 0.5682296115247861
-18.0 -18.433981132056605 0.6475046003296275 0.6070725717887021 0.5737714560698447
-18.5 -18.922771061076553 0.6497639143765132 0.611102470215736 0.5789769581192444
-19.0 -19.412113800799503 0.651863388646536 0.6148676235047886 0.583870741757139
-19.5 -19.901970252123476 0.653817400054122 0.6183896749648915 0.5884754350255704
-20.0 -20.392304845413264 0.6556387843579973 0.6216882165778014 0.5928118328288706
